date_scrape,user_name,retweet_count,favorite_count,account_followers,unique_users
2021-03-28,Tronfoundation,103.75,393.25,667801.0,8
2021-03-28,Bitcoin,780.7,5250.6,1803546.0,10
2021-03-28,Cardano,119.0,797.0,348147.0,3
2021-03-28,Algorand,57.8,265.3,74451.0,10
2021-03-28,chainlink,188.0,813.8,205354.0,10
2021-03-28,StellarOrg,95.57142857142857,388.42857142857144,461738.0,7
2021-03-28,MakerDAO,8.4,35.9,127418.0,10
2021-03-28,cosmos,14.1,55.0,93014.0,10
2021-03-28,ethereum,38.0,191.0,844753.0,1
2021-03-28,block_one_,52.7,189.9,206413.0,10
2021-03-28,LTCFoundation,99.125,447.125,154367.0,8
2021-03-28,monero,38.6,198.6,378072.0,10
2021-03-28,Ripple,230.4,1001.3,1305882.0,10
2021-03-28,Polkadot,137.625,677.0,257309.0,8
2021-03-28,dogecoin,1026.8,8379.0,682805.0,5
2021-03-29,Polkadot,77.625,418.375,254123.0,8
2021-03-29,Algorand,60.9,270.2,74321.0,10
2021-03-29,LTCFoundation,108.57142857142857,484.2857142857143,154190.0,7
2021-03-29,Tronfoundation,65.375,265.125,666466.125,8
2021-03-29,Bitcoin,777.5,5241.2,1808775.0,10
2021-03-29,block_one_,52.5,189.4,205990.0,10
2021-03-29,chainlink,184.8,822.5,204504.2,10
2021-03-29,Ripple,225.0,997.9,1304762.0,10
2021-03-29,MakerDAO,4.0,19.0,125519.0,10
2021-03-29,cosmos,27.2,132.8,92287.0,10
2021-03-29,dogecoin,1025.2,8362.8,682682.0,5
2021-03-29,Cardano,118.33333333333333,800.0,348532.0,3
2021-03-29,tezos,47.8,219.7,97120.0,10
2021-03-29,Filecoin,32.3,153.6,63583.0,10
2021-03-29,ethereum,38.0,187.0,845058.0,1
2021-03-29,monero,40.9,208.2,377557.0,10
2021-03-29,StellarOrg,86.0,340.85714285714283,460421.0,7
2021-03-30,Cardano,106.0,720.0,350056.0,4
2021-03-30,tezos,50.2,225.2,97197.0,10
2021-03-30,Ripple,225.7,1006.6,1305796.0,10
2021-03-30,MakerDAO,4.4,19.9,124856.0,10
2021-03-30,Polkadot,79.66666666666667,430.44444444444446,253582.0,9
2021-03-30,block_one_,52.8,190.0,206038.4,10
2021-03-30,Filecoin,34.8,159.3,63848.0,10
2021-03-30,LTCFoundation,109.42857142857143,490.85714285714283,154261.0,7
2021-03-30,Bitcoin,780.8,5243.4,1816486.0,10
2021-03-30,Algorand,60.9,273.5,74640.0,10
2021-03-30,monero,42.4,220.6,377552.0,10
2021-03-30,StellarOrg,69.375,281.25,460342.0,8
2021-03-30,Tronfoundation,67.75,265.75,667327.0,8
2021-03-30,dogecoin,897.6666666666666,7195.166666666667,683320.0,6
2021-03-30,chainlink,173.2,784.4,205140.0,10
2021-03-30,ethereum,37.0,185.0,846975.0,1
2021-03-30,cosmos,41.7,190.2,92499.0,10
2021-03-31,chainlink,151.8,709.4,206632.0,10
2021-03-31,Filecoin,33.3,158.7,65190.5,10
2021-03-31,Bitcoin,784.3,5254.4,1825433.0,10
2021-03-31,Algorand,80.9,366.0,75228.0,10
2021-03-31,Polkadot,74.33333333333333,410.22222222222223,256665.0,9
2021-03-31,block_one_,51.2,183.0,206247.0,10
2021-03-31,MakerDAO,4.4,19.9,125209.0,10
2021-03-31,ethereum,37.0,185.0,850239.0,1
2021-03-31,monero,37.7,194.5,378137.0,10
2021-03-31,cosmos,31.4,152.6,93164.0,10
2021-03-31,dogecoin,947.0,7492.0,684703.0,6
2021-03-31,tezos,57.142857142857146,217.85714285714286,97557.0,7
2021-03-31,Cardano,131.0,856.5,352924.0,4
2021-03-31,Ripple,311.0,1306.3,1308543.0,10
2021-03-31,StellarOrg,72.625,294.625,461497.0,8
2021-03-31,Tronfoundation,102.2,386.6,671493.0,5
2021-03-31,LTCFoundation,98.625,439.25,154501.0,8
2021-04-01,Filecoin,29.2,139.0,67265.0,10
2021-04-01,Ripple,318.0,1326.0,1311725.0,10
2021-04-01,ethereum,38.0,186.0,853961.0,1
2021-04-01,Tronfoundation,95.0,388.85714285714283,675344.0,7
2021-04-01,MakerDAO,4.4,20.1,125693.0,10
2021-04-01,Polkadot,51.22222222222222,274.3333333333333,259190.0,9
2021-04-01,Bitcoin,787.9,5258.1,1834328.5,10
2021-04-01,LTCFoundation,105.66666666666667,468.55555555555554,154920.0,9
2021-04-01,Cardano,138.0,895.25,355658.0,4
2021-04-01,block_one_,55.5,193.8,206830.0,10
2021-04-01,monero,33.8,174.1,378779.0,10
2021-04-01,tezos,58.285714285714285,220.14285714285714,97955.0,7
2021-04-01,StellarOrg,77.125,314.5,463397.0,8
2021-04-01,cosmos,31.0,149.8,93808.0,10
2021-04-01,Algorand,70.6,316.3,75691.8,10
2021-04-01,chainlink,137.2,628.7,208318.0,10
2021-04-01,dogecoin,954.8333333333334,7531.333333333333,688178.0,6
2021-04-02,tezos,51.875,197.75,98370.0,8
2021-04-02,ethereum,38.0,186.0,859379.0,1
2021-04-02,cosmos,25.0,118.8,94501.0,10
2021-04-02,block_one_,56.2,195.1,207331.0,10
2021-04-02,monero,37.5,183.5,379485.0,10
2021-04-02,Filecoin,37.1,179.7,68480.5,10
2021-04-02,Polkadot,70.6,365.3,262121.0,10
2021-04-02,dogecoin,955.5,7547.666666666667,690838.0,6
2021-04-02,MakerDAO,3.8,20.4,126172.0,10
2021-04-02,Bitcoin,789.8,5263.5,1843277.0,10
