date_scrape,coin_name,r_subscribers,r_comments,r_upvotes,r_upvote_ratio,r_unique_posts,t_retweets,t_favorites,t_followers,t_unique_users,y_subscribers,y_views,y_comments,y_likes,y_unique_channels,price
2021-03-12,stellar,160059,97.68336673346694,108.98597194388778,0.9595390781563125,499,45.5,191.5,707044,10,82420,58253.6,622.9,87,10,0.38787099719047546
2021-03-13,stellar,160295,98.52104208416834,109.78557114228455,0.9592985971943884,499,45.5,191.5,707044,10,94066.66666666669,53059.7,514.4285714285714,72.9,10,0.40826401114463806
2021-03-14,stellar,160611,99,110.33266533066131,0.9592384769539106,499,32.9,163.7,441419,10,102000,61979.833333333336,659.8333333333334,61.333333333333336,6,0.3915329873561859
2021-03-15,stellar,160868,99.5250501002004,110.70340681362724,0.961022044088176,499,42.7,198,444521,10,98844.44444444444,52221.4,642.2,53.6,10,0.3854990005493164
2021-03-16,stellar,161140,99.7875751503006,112.07214428857716,0.9595390781563125,499,50.7,211.8,445385,10,70342.85714285714,40689.1,335,1683.7,10,0.3957470059394837
2021-03-17,stellar,161431,100.18236472945893,112.75350701402806,0.9602404809619264,499,54.1,233.5,447922,10,70342.85714285714,40689.1,335,1683.7,10,0.4047439992427826
2021-03-18,stellar,161711,100.61923847695392,112.47094188376754,0.9601402805611222,499,60.8,261.7,449977,10,147581,60414.4,541.6666666666666,2737.1,10,0.39760899543762207
2021-03-19,stellar,162051,101.0120240480962,113.30460921843688,0.959959919839679,499,60.8,264.2,451175,10,181566.66666666663,79478.16666666667,600.2,3283.3333333333335,6,0.3983280062675476
2021-03-20,stellar,162311,101.83567134268536,113.44488977955912,0.9619438877755522,499,61.1,264.9,452649,10,96992,41581.6,504,2177.2,10,0.4174880087375641
2021-03-21,stellar,162601,102.3867735470942,114.2004008016032,0.9619839679358744,499,61.4,265.2,454078,10,101666.66666666669,45925.166666666664,688,2366.6666666666665,6,0.4049989879131317
2021-03-22,stellar,162832,102.29518072289156,113.75502008032127,0.9588955823293184,498,68.6,290.5,455257,10,101850,46068.833333333336,429.25,2366.6666666666665,6,0.39673998951911926
2021-03-23,stellar,163015,102.3413654618474,113.83534136546184,0.9605421686747012,498,82.6,339.8,455897,10,99724,40506,511.5,2177.4,10,0.400085985660553
2021-03-24,stellar,163453,101.79317269076306,114.16265060240964,0.95823293172691,498,86.6,346.9,457697,10,106171.42857142857,44569.857142857145,487.6666666666667,2400,7,0.3686389923095703
2021-03-25,stellar,163652,102.81526104417672,115.31726907630522,0.96178714859438,498,97.375,376.75,458688,8,86574,38480.2,366.8,1953.2,10,0.3659000098705292
2021-03-26,stellar,163782,102.56626506024097,115.68875502008032,0.9596586345381526,498,93.28571428571428,378.7142857142857,459543.28571428574,7,84634,39790.9,487.44444444444446,2006.2,10,0.3875049948692322
2021-03-27,stellar,163930,103.21887550200805,116.25502008032127,0.9606827309236944,498,94.42857142857144,385.42857142857144,460643,7,84644,39818.1,509.7,2006.8,10,0.3847219944000244
